Person Id,Course Short Name,Course Start Date,Course End Date,Course Flight Hours,E2E Course Days
589487,1 Intro,03/04/2019,03/22/2019,11.0,18
589488,2 Private,03/04/2019,12/19/2019,79.8,290
589488,3 Inst,12/20/2019,08/05/2020,73.1,229
589488,4 Com Sgl,08/17/2020,03/06/2021,123.7,201
589488,5 Com Mul,03/10/2021,04/26/2021,22.3,47
589488,6 CFI,05/03/2021,09/03/2021,35.9,123
589488,8 CFII,09/07/2021,10/18/2021,20.7,41
589489,1 Intro,03/04/2019,03/22/2019,5.2,18
589489,3 Inst,03/22/2019,05/14/2019,35.0,53
589489,4 Com Sgl,05/23/2019,08/08/2019,129.6,77
589489,5 Com Mul,01/30/2020,02/21/2020,3.5,22
589489,8 CFII,10/14/2019,01/20/2020,9.8,98
589490,1 Intro,03/04/2019,03/25/2019,6.0,21
589490,3 Inst,03/25/2019,06/01/2019,38.3,68
589490,4 Com Sgl,06/07/2019,09/15/2019,120.7,100
589490,5 Com Mul,01/30/2020,02/19/2020,17.2,20
589490,8 CFII,12/16/2019,01/28/2020,6.8,43
589490,9 MEI,06/04/2021,09/23/2021,22.4,111
589491,1 Intro,03/04/2019,03/22/2019,5.4,18
589491,3 Inst,03/25/2019,05/07/2019,34.8,43
589491,4 Com Sgl,05/17/2019,08/14/2019,121.9,89
589491,5 Com Mul,01/02/2020,02/19/2020,16.7,48
589491,8 CFII,10/14/2019,11/26/2019,7.6,43
589492,2 Private,03/04/2019,10/04/2019,92.7,214
589492,3 Inst,10/17/2019,03/04/2020,55.9,139
589492,4 Com Sgl,03/18/2020,10/31/2020,118.2,227
589492,5 Com Mul,07/03/2021,08/12/2021,25.0,40
589492,6 CFI,11/02/2020,05/19/2021,37.2,198
589492,8 CFII,05/18/2021,07/01/2021,16.0,44
589493,2 Private,03/04/2019,10/15/2019,98.9,225
589493,3 Inst,10/17/2019,05/31/2020,80.4,227
589493,4 Com Sgl,04/02/2020,10/01/2020,131.1,182
589493,5 Com Mul,10/14/2020,11/23/2020,26.5,40
589493,6 CFI,12/07/2020,05/13/2021,22.9,157
589493,8 CFII,05/14/2021,07/21/2021,23.5,68
589497,1 Intro,03/04/2019,04/02/2019,14.3,29
589497,3 Inst,04/02/2019,07/26/2019,44.7,115
589497,4 Com Sgl,08/08/2019,06/13/2020,145.1,310
589497,5 Com Mul,05/26/2021,08/11/2021,24.8,77
589497,6 CFI,03/16/2020,11/18/2020,21.3,247
589497,8 CFII,11/20/2020,05/25/2021,20.4,186
589498,2 Private,03/04/2019,07/26/2019,44.3,144
589498,3 Inst,08/13/2019,11/05/2019,48.6,84
589498,4 Com Sgl,11/06/2019,08/05/2020,124.1,273
589498,5 Com Mul,06/24/2021,08/24/2021,27.4,61
589498,6 CFI,08/31/2020,03/20/2021,32.0,201
589498,8 CFII,03/23/2021,06/23/2021,18.7,92
595670,2 Private,04/01/2019,06/03/2019,47.3,63
595670,3 Inst,06/14/2019,08/28/2019,43.3,75
595670,4 Com Sgl,09/03/2019,02/16/2020,138.3,166
595670,5 Com Mul,03/06/2021,07/15/2021,20.6,131
595670,6 CFI,02/03/2020,08/06/2020,17.0,185
595670,8 CFII,10/01/2020,03/05/2021,10.3,155
595671,2 Private,04/01/2019,08/11/2019,57.0,132
595671,3 Inst,08/27/2019,12/21/2019,66.5,116
595671,4 Com Sgl,01/17/2020,08/26/2020,144.9,222
595671,5 Com Mul,01/13/2021,03/10/2021,20.4,56
595671,6 CFI,08/31/2020,11/09/2020,12.8,70
595671,8 CFII,11/11/2020,01/13/2021,10.8,63
595672,1 Intro,04/01/2019,04/17/2019,6.5,16
595672,3 Inst,04/17/2019,02/15/2020,78.4,304
595675,2 Private,04/01/2019,07/27/2019,58.6,117
595675,3 Inst,08/20/2019,11/09/2019,62.4,81
595675,4 Com Sgl,11/14/2019,02/21/2020,120.2,99
595675,5 Com Mul,11/11/2020,03/01/2021,25.3,110
595675,6 CFI,02/03/2020,06/24/2020,17.5,142
595675,8 CFII,06/29/2020,08/04/2020,8.5,36
595675,9 MEI,03/02/2021,07/27/2021,25.1,147
595676,2 Private,04/01/2019,07/24/2019,43.8,114
595676,3 Inst,09/04/2019,12/19/2019,53.9,106
595676,4 Com Sgl,01/21/2020,09/25/2020,126.5,248
595676,5 Com Mul,07/06/2021,09/03/2021,16.1,59
595676,6 CFI,11/02/2020,04/26/2021,29.7,175
595676,8 CFII,04/27/2021,07/19/2021,20.8,83
595677,2 Private,04/01/2019,09/05/2019,82.8,157
595678,1 Intro,04/08/2019,04/16/2019,5.6,8
595678,3 Inst,04/16/2019,06/16/2019,31.4,61
